pl_name,hostname,pl_orbper,pl_rade,pl_bmassj,pl_eqt,pl_insol,st_rad,st_teff,st_lum,sy_dist,pl_dens
Kepler-1491 b,Kepler-1491,16.5861762,1.39,,695.0,55.08,0.917,5880.0,,2065.59,
K2-19 d,K2-19,2.5081,1.11,0.03146352,1142.0,404.0,0.82,5322.0,,289.827,40.0
Kepler-400 b,Kepler-400,9.024391,1.76,,965.0,,1.12,6062.0,,845.97,
Kepler-271 d,Kepler-271,5.24972541,0.71,,978.0,216.24,0.895,5516.0,,404.542,
Kepler-1335 b,Kepler-1335,6.26406846,1.61,,809.0,101.27,0.817,5032.0,,621.853,
Kepler-460 c,KIC 5437945,220.1303357,6.1,,389.0,5.4,1.393,6340.0,,1274.01,
Kepler-263 b,Kepler-263,16.568087,2.67,,,,0.785,5265.0,,754.747,
Kepler-1026 b,Kepler-1026,36.5156053,2.21,,,,0.75,4948.0,,351.239,
Kepler-594 b,Kepler-594,13.64618192,2.18,,,,0.87,5485.0,,769.2,
Kepler-705 b,Kepler-705,56.05623,2.76,,265.0,0.729,0.502,3674.0,-1.385,276.881,
TOI-5340 b,TOI-5340,4.9393117,13.6199,,1529.0,908.364,1.69,6287.2,,532.629,
Kepler-371 b,Kepler-371,34.763278,1.89,,,,0.992,5666.0,,813.192,
Kepler-462 b,Kepler-462,84.69,5.04405,,,,2.3,7717.0,,596.625,
Kepler-257 c,Kepler-257,6.581477136,4.56,,881.0,142.63,0.973,5188.0,,780.256,
Kepler-1569 b,Kepler-1569,5.79180156,1.25,,1124.0,377.8,1.087,6185.0,,945.454,
Kepler-787 b,Kepler-787,0.928310498,1.47,,1405.0,920.94,0.72,4894.0,,503.568,
Kepler-1136 b,Kepler-1136,2.361718,1.37,,883.0,,0.598,4485.0,,491.406,
Kepler-340 c,Kepler-340,22.824669,3.37,,,,1.85,6620.0,,808.762,
Kepler-1030 b,Kepler-1030,19.32952416,2.52,,534.0,19.16,0.78,5023.0,,758.702,
TOI-1438 b,TOI-1438,5.1396666,2.25905702,,883.38,143.9145,0.815924,5374.0,,110.513,
Kepler-1609 b,Kepler-1609,114.34219,2.05,,428.0,7.93,1.186,6257.0,,1826.04,
Kepler-229 c,Kepler-229,16.068638,4.92,,,,0.728,5120.0,,826.265,
