time,flux,flux_err
1345.66627337491,6570.736,11.260983
1345.6676622621949,6571.907,11.266927
1345.6690511494808,6575.586,11.265996
1345.6704400367653,6549.4556,11.248507
1345.6718289240503,6569.8535,11.2551565
1345.6732178113361,6576.3296,11.265227
1345.6746066986211,6581.053,11.264775
1345.6759955859065,6574.082,11.2656975
1345.6773844731915,6572.436,11.260283
1345.6787733604474,6579.278,11.267878
1345.6801622477333,6581.722,11.29019
1345.6815511350183,6563.5093,11.264615
1345.6829400223037,6587.705,11.267364
1345.6843289095893,6574.2485,11.260324
1345.6857177968745,6565.8965,11.256431
1345.6871066841304,6569.1333,11.258268
1345.6884955714156,6558.945,11.25521
1345.6898844587008,6576.691,11.269352
1345.6912733459867,6562.616,11.256443
1345.6926622332426,6582.89,11.263317
1345.694051120527,6563.311,11.256083
1345.6954400078127,6563.562,11.246806
1345.6968288950693,6566.7744,11.257184
1345.6982177823538,6577.3647,11.253498
1345.699606669639,6563.481,11.260569
1345.7009955568956,6570.4067,11.254053
1345.702384444181,6590.5815,11.265996
1345.703773331466,6570.755,11.264625
1345.7051622187219,6571.776,11.259883
1345.7065511060077,6559.8257,11.253224
1345.7079399932645,6558.7573,11.252816
1345.709328880549,6572.77,11.255012
1345.710717767834,6579.1016,11.256665
1345.7121066550908,6555.658,11.253122
1345.7134955423758,6552.0312,11.250747
1345.7148844296319,6569.7017,11.247364
1345.716273316917,6589.6035,11.26901
1345.717662204173,6579.8916,11.264674
1345.7190510914297,6570.2324,11.254443
1345.7204399787147,6570.7144,11.254162
1345.72182886597,6563.0493,11.253227
1345.723217753256,6575.2407,11.262879
1345.7246066405128,6576.4854,11.2620535
1345.725995527797,6560.355,11.25285
1345.7273844150532,6561.472,11.255358
1345.72877330231,6561.0757,11.24903
1345.7301621895956,6567.1475,11.254953
1345.7315510768517,6557.9565,11.249864
1345.732939964107,6568.627,11.253964
1345.7343288513925,6592.9536,11.270406
1345.7357177386493,6554.3076,11.247886
1345.7371066259047,6562.7046,11.256354
1345.7384955131606,6566.3667,11.253127
1345.7398844004465,6580.34,11.258826
